BANK,IFSC,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0WRB054,WAGHODIYA ROAD,"1-2,GIRIRAJ BAUG SOCIETY,NEAR PRABHAT BUS STATION,WAGHODIYA ROAD,VADODARA-390019",2522900,VADODARA,VADODARA,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0VTV009,VATWA,"PLOT NO.1110, GIDC, PHASE-3 F-ROAD,NR.ABAD BAKERY, VATVA, AHMEDABAD - 382445",25831067,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0VSR015,VASTRAPUR,"HIMALAYA ARCADE, NR. VASTRAPUR LAKE, VASTRAPUR, AHMEDABAD-380015",26750673,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0VSN020,VASNA,"NR. RATNASAGAR FLAT,KESARIYAJI CHAR RASTA, JIVRAJ MEHTA HOSPITAL ROAD, VASNA, AHMEDABAD-380007",26611279,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0VDD024,OLD PADRA - VADODARA,"54,PUNITNAGAR SOC, OPP.VCCINE INSUTITUTE, OLD PADRA ROAD, VADODARA-390015",2354367,VADODARA,VADODARA,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0USM047,USMANPURA NEW,"3-4, AALIN COMPLEX, NEAR GUJARAT VIDHYAPITH, USMANPURA, AHMEDABAD-380014",27541415,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0USM006,USHMANPURA,"KIRTISAGAR COMPLEX, NR. RANCHODJI MANDIR, USMANPURA, AHMEDABAD-380014┬á",27561140,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0UDN040,UDHANA UDHYOGNAGAR,"OPP. UDHNA ACADEMIC SCHOOL,CENTRAL ROAD NO. 14,UDHYOGNAGAR,UDHNA,SURAT-394210",2758492,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0UDN037,UDHNA - SURAT,"1ST. FLOOR, SURYA PLAZA,NEAR BHATAR SQUARE,SURAT-385007",2234111,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0TXM032,TEXTILE MARKET - SURAT,"38-39, AJANTA SHOPPING CENTRE,NEAR KINNARI CINEMA,RING ROAD,SURAT-395002",2343442,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SXS008,ST. XAVIERS,"AKSHAR ARCADE, GROUND FLOOR, OPP MEMNAGAR FIRE STATION, NAVRANGPURA,┬áAHMEDABAD-380009",26462241,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SNN005,SANAND,"NR.KHARID VECHAN SANGH,NALSAROVAR THREE ROAD, TAL : SANAND.┬áDIST: AHMEDABAD-382110",224351,SANAND,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SMR007,S M ROAD,"1,VASANT RAJAB SOC, NR. P & T COLONY, SATELLITE ROAD,┬áSATELLITE┬á,AHMEDABAD-380015",26731182,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SME049,SME-MID CORPORATE,"2ND FLOOR, ANNEXE BUILDING, KALUPUR BANK BHAVAN, NEAR INCOME TAX CIRCLE, ASHRAM ROAD, AHMEDABAD - 380014",27582020,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SLR012,SOLA ROAD,"1, TIRTHNAGAR CO-OP HOU. SOCIETY, PART - III, OPP. SARVODAYA SOCIETY PART I, BHUYANGDEV CHAR RASTA, SATASHAR ROAD, SOLA ROAD, AHMEDABAD-380061",27433529,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SDR031,STADIUM ROAD,"ROYAL HOUSE 16-B, MAHADEV NAGER SOC. STADIUM ROAD, NAVRANGPURA, AHMEDABAD-380014",26462058,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SCT034,SCIENCE CITY,"7-8-9 MORYA TIME SQUARE,INFRONT OFF R.K. ROYAL HALL,SCIENCECITY ROAD,SOLA,AHMEDABAD-380061",29299940,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SCR023,SWASTIK,"SWASTIK CHAR RASTA, NR. SHUSHILABEN RATILAL HALL,C.G.ROAD, NAVRANGPUARA, AHMEDABAD-380009",26406945,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0SBP055,SOUTHBOPAL,"20,21,120,121,ORCHID CENTER,NEAR SOBO CENTER,SOUTH BOPAL,AHMEDABAD",29795199,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0RTGS4C,RTGS-HO,"KALUPUR BANK BHAVAN NR, INCOME TAX, ASHRAM ROAD, AHMEDABAD- 380014",27582020,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0RRD042,RING ROAD,"PARISHRAM COMPLEX.OPP. PARAG HOUSE, RING ROAD,SURAT - 395003",2310546,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0RJT057,RAJKOT,"GANESH TRADE CENTER,PLOT NO 105,BETWEEN KKV HALL AND INDIRA CIRCLE,150 FEET RING ROAD,RAJKOT-360005",2578003,RAJKOT,RAJKOT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0PSR041,PANDESARA,"240 SHIV NAGAR SOCIETY,G.I.D.C ROAD,PANDESARA,SURAT - 394221",2893245,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0POR053,POR,"GROUND FLOOR,SWAMINARAYAN COMPLEX,BLOCK NO 83,AMBICA NAGAR SOCIETY,POR-KAYAVAROHAN ROAD,POR-391243",2830321,VADODARA,VADODARA,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0PCV013,PANCHVATI,"SUN POINT SHANTISADAN SOC,NR. PARIMAL GARDEN, ELLIS BRIDGE, AHMEDABAD-380006",26444952,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0PCR011,PATRAKAR COLONY,"ANKUR COMMERCIAL CENTRE, NR.ANKUR BUS STAND,NARANPURA, AHMEDABAD-380013",27433028,AHMEDABAD,AHMEDABAD,GUJARAT
